,order_type,procedure_name,count(*)
2869,Consult,IP CONSULT TO OPTOMETRY,2
2870,Imaging,US ASPIRATION BONE,2
2871,Lab,PROTEIN S ANTIGEN TOTAL,2
2872,Imaging,CT SHOULDER W WO CONTRAST LEFT,2
2873,PR Charge,PR NEBULIZER DOME & MOUTHPIECE,2
2874,Imaging,CT CERVICAL LUMBAR WITH CONTRAST,2
2875,Imaging,US EXT NEEDLE BX LEFT,2
2876,Lab,TETANUS ANTIBODY,2
2877,Nursing,INSERT BLAKEMORE TUBE,2
2878,Imaging,XR GI LONG TUBE PLACEMENT,2
2879,Imaging,US RADIAL ARTERY IMAGING BILATERAL,2
2880,SLP,SLP PEDS ORAL MOTOR FEEDING,2
2881,GU Procedure,URODYNAMICS REPORT,2
2882,Lab,CHLORIDE,2
2883,Blood Bank,PRODUCT NEONATAL CRYOPRECIPITATE,2
2884,Lab,FLUNITRAZEPAM LEVEL,2
2885,Microbiology,"CRYPTOCOCCAL ANTIGEN TITER, BLOOD",2
2886,Lab,HELICOBACTER PYLORI IGA,2
2887,Imaging,MRI IAC W WO CONTRAST,2
2888,Legal,INVOLUNTARY LEGAL STATUS,2
2889,Neurology,EEG SLEEP DEPRIVED,2
2890,Outpatient Referral,AMB REFERRAL TO CARDIAC ELECTROPHYSIOLOGY,2
2891,Lab,"BARBITURATE QUANTITATIVE, URINE",2
2892,Imaging,XR MASTOIDS 3+ VW,2
2893,Imaging,CT TIBIA FIBULA W CONTRAST RIGHT,2
2894,External Education,EDUCATION ASTHMA,2
2895,Imaging,CTA CRBRL W 3D RECONST W WO CONT,2
2896,Nursing,IV SITE-CATHETER TYPE,2
2897,Imaging,NM ABSCESS LOCAL WHOLE BODY,2
2898,Imaging,MRI LOW EXT  JOINT W WO CONT RIGHT,2
2899,Neurology,EEG IN COMA,2
2900,Imaging,NM RENAL IMAGING,2
2901,Imaging,US PSEUDO ANEURYSM INJECT W GUIDANCE LOW,2
2902,Procedures,BURN TREATMENT,2
2903,Imaging,US OB FU + BPP WO NST + UMB ART,2
2904,Lab,"OXALATE, 24HR URINE",2
2905,PR Charge,PR NEBULIZER KIT-ONLY,2
2906,Microbiology,RESPIRATORY VIRAL PANEL,2
2907,Consult,IP CONSULT TO GYNECOLOGICAL ONCOLOGY,2
2908,External Education,EDUCATION BLOOD GLUCOSE MONITOR: UNDERSTAND DIABETES - EMMI MERCY KIDS,2
2909,Outpatient Referral,AMB REFERRAL TO RADIATION ONCOLOGY,2
2910,Lab,MAGNESIUM RBC,2
2911,GU Procedure,URETHRA PRESSURE PROFILE,2
2912,Imaging,XR ELBOW 1 VW RIGHT,2
2913,Lab,"MYELODYSPLASTIC SYNDROME, FISH",2
2914,Lab,"FETAL LUNG PROFILE, AMNIOTIC FLUID",2
2915,Nursing,CHECK PUPILS,2
2916,PR Charge,PR DAPTOMYCIN INJECTION,2
2917,External Education,EDUCATION GOING HOME WITH BABY: YOUR DISCHARGE - EMMI MERCY KIDS,2
2918,Imaging,NM BRAIN IMAG SPECT,2
2919,Imaging,MRI ORBITS W CONTRAST,2
2920,Imaging,XR HIP MIN 4 VIEWS LT,2
2921,Immunization/Injection,ESTRADIOL VALERATE 20 MG/ML IM INJECTION,2
2922,Imaging,XR UPR EXTR INFANT 1 VW LT,2
2923,Imaging,CT UPR EXT W CONTRAST RIGHT,2
2924,Lab,BORDETELLA PERTUSSIS IGG,2
2925,Imaging,US OB FETAL DETAIL + UMB ART DOPPLER,2
2926,Imaging,CT FOOT W CONTRAST BILAT,2
2927,Point of Care Testing,POC ERYTHROCYTE SEDIMENTATION RATE,2
2928,Imaging,MRI ORBIT FACE NECK WO CONTRAST,2
2929,Imaging,CT LOW EXT W CONTRAST BI,2
2930,OB,BREAST SHIELDS,2
2931,HB Chargeables,HCHG HEMOSTATIC AGENT SURGICEL4X8IN,2
2932,Lab,PREGABALIN,2
2933,Microbiology,BACTERIAL VAGINOSIS STAIN,2
2934,Imaging,US OB FETAL DETL SINGLE GEST W COUNSEL,2
2935,Consult,IP CONSULT TO TELESTROKE,2
2936,Lab,LYME AB IGG/IGM,2
2937,External Education,EDUCATION HEART FAILURE - ALCOHOL AND SMOKING,2
2938,External Education,EDUCATION KNEE ARTHROSCOPY - EMMI,2
2939,Imaging,US BIOPSY PLEURA LEFT,2
2940,External Education,EDUCATION CHRONIC OBSTRUCTIVE PULMONARY DISEASE,2
2941,Lab,HEPATITIS BE AG/AB,2
2942,Immunization/Injection,NPH INSULIN HUMAN RECOMB 100 UNIT/ML SQ INJECTION,2
2943,External Education,EDUCATION DIABETES ALERT - TEST STRIPS NOT ORDERED - EMMI,2
2944,Behavioral Health Services,SELF MUTILATION PRECAUTIONS,2
2945,Nursing,WEIGH DIAPERS,2
2946,OT,OT PULMONARY REHAB,2
2947,Imaging,XR SHOULDER 1 VW BILAT,2
2948,Nursing,CLAMP CATHETER,2
2949,Lab,INFLUENZA A ABS,2
2950,Imaging,US OB 14+ COMP + UMB ART + NST,2
2951,Imaging,US OB GREATER THAN 14 WKS ADDL + AMNIO,2
2952,Lab,BK VIRUS BY PCR,2
2953,Imaging,MRI HAND W CONTRAST RIGHT,2
2954,General Supply,CERVICAL COLLAR SOFT,2
2955,Imaging,MRI IAC WO CONTRAST,2
2956,Lab,"FISH, DIGEORGE",2
2957,Lab,INHIBIN B,2
2958,Procedures,SUPRAPUBIC ASPIRATION,2
2959,Imaging,MRI ABDOMEN PELVIS W WO CONT,1
2960,Imaging,MRI SHOULDER W CONTRAST LEFT,1
2961,Immunization/Injection,KETOROLAC 60 MG/2 ML INJECTION,1
2962,PR Charge,PR DRAIN SKIN ABSCESS SIMPLE,1
2963,External Education,EDUCATION BREASTFEEDING 411 - EMMI MERCY KIDS,1
2964,Imaging,MRI BRAIN W WO + MRA BRAIN WO,1
2965,Lab,DEHEPARINIZED PTT,1
2966,PR Charge,"INITIAL NURSING FACILITY CARE/DAY, MOD SEVERITY",1
2967,Lab,ADENOSINE DEAMINASE,1
2968,PR Charge,PR PIPERACILLIN/TAZOBACTAM,1
2969,Imaging,MRI ELBOW WO CONTRAST LEFT,1
2970,ECHO,ECHO PEDIATRIC LIMITED W DOPPLER AND COLOR FLOW,1
2971,PR Charge,PR HOSPITAL BED VAR HT W/ MATTR,1
2972,Nursing,APPLY DUODERM,1
2973,Charge,CHG ITRACONAZOLE LEVEL HPLC,1
2974,PR Charge,PR TELEVANCIN INJECTION,1
2975,HB Chargeables,HCHG SUPPL RESOURCE ARGINAID LEMLIM,1
2976,PR Charge,PR HOSP GRADE ELEC BREAST PUMP,1
2977,Outpatient Referral,AMB REFERRAL TO AUDIOLOGY,1
2978,Imaging,NM THYROID 6/24 HR UPTAKE SCAN I 123,1
2979,Outpatient Referral,AMB REFERRAL TO UROGYNECOLOGY,1
2980,PR Charge,"PR SLING, SHOULDER",1
2981,PR Charge,PR POST-OP FOLLOW-UP VISIT,1
2982,Immunization/Injection,ENOXAPARIN 40 MG/0.4 ML INJECTION,1
2983,Imaging,MRI HAND W CONTRAST LEFT,1
2984,Imaging,MRI ABDOMEN PELVIS WO CONTRAST,1
2985,Imaging,MRI BREAST W WO CONTRAST RIGHT,1
2986,Lab,INTERPRETATION,1
2987,Procedures,SPEECH AND HEARING EVAL AND TREATMENT,1
2988,Outpatient Referral,AMB REFERRAL TO HYPERBARIC,1
2989,Outpatient Referral,AMB REFERRAL TO SPORTS MEDICINE,1
2990,Equipment,ELEVATED TOILET SEAT,1
2991,PR Charge,HOME VISIT NEW PT UNSTABL/SIGNIF NEW PROB,1
2992,Imaging,MRA SPINE,1
2993,Outpatient Referral,AMB REFERRAL TO ALLERGY,1
2994,Nursing,FISTULA CHECKS,1
2995,HB Chargeables,HCHG SPIROMETER INCENTIVE ADLT 400,1
2996,Outpatient Referral,AMB REFERRAL TO ORAL MAXILLOFACIAL SURGERY,1
2997,PR Charge,PR PHOTOTHERAPY LIGHT W/ PHOTOM,1
2998,PR Charge,PR CEFAZOLIN SODIUM INJECTION,1
2999,Imaging,MRI THORACIC LUM W WO CONT,1
3000,PR Charge,"INITIAL NURSING FACILITY CARE/DAY, HIGH SEVERITY",1
3001,Outpatient Referral,AMB REFERRAL TO NUTRITION,1
3002,PR Charge,PR DURABLE MEDICAL EQUIPMENT MI,1
3003,Immunization/Injection,AMPICILLIN 2 GRAMS INJECTION,1
3004,Outpatient Referral,AMB REFERRAL TO PEDIATRIC HEM/ONC,1
3005,Equipment,CANE,1
3006,Imaging,US ASPIRATION BREAST LEFT,1
3007,External Education,EDUCATION NEBULIZER (ADULT) - EMMI,1
3008,PR Charge,PR TOBACCO USE CESSATION INTENSIVE >10 MINUTES,1
3009,General Supply,WALKERS,1
3010,General Supply,ANKLE SPLINT AIR CAST,1
3011,General Supply,CATHETER LEG STRAP,1
3012,PR Charge,PR OSTOMY SUPPLY MISC,1
3013,General Supply,ACE WRAP,1
3014,Procedures,"CLOSED REDUCTION OF FX, W/MANIPULATION",1
3015,PR Charge,"PR RABIES VACCINE, IM",1
3016,Imaging,MAMMO SCREENING UNILATERAL RIGHT,1
3017,HB Chargeables,HCHG MRI LUMBAR SPINE WO CONT,1
3018,PR Charge,PR TRACH SUPPLY NOC,1
3019,Outpatient Referral,AMB REFERRAL TO VASCULAR CENTER,1
3020,PR Charge,PR HOME VISIT WOUND CARE,1
3021,PR Charge,PR REPR SUPERF WND BODY <2.5CM,1
3022,PT,PT PULMONARY REHAB,1
3023,General Supply,SLINGS,1
3024,Procedures,BIOPSY LIVER,1
3025,Outpatient Referral,AMB REFERRAL TO PRIMARY CARE (SCHOOL NURSE) TELEMED,1
3026,Equipment,COMPRESSION SLEEVE,1
3027,Lab,"TESTOSTERONE FREE, BIOAVAILABLE AND TOTAL",1
3028,Procedures,REPAIR RADIAL HEAD DISLOCATION,1
3029,Imaging,MRI ABDOMEN PELVIS W CONTRAST,1
3030,HB Chargeables,HCHG MRI THORACIC SPINE WO CONT,1
3031,Nursing,COLD WATER COMPRESS,1
3032,Outpatient Referral,AMB REFERRAL TO EMG CLINIC,1
3033,Outpatient Referral,AMB REFERRAL TO PLASTIC SURGERY,1
3034,HB Chargeables,HCHG SUPPL NEPRO CARB STEADY 1L R,1
3035,Outpatient Referral,AMB REFERRAL TO CHF REHABILITATION,1
3036,PR Charge,PR HOME PHOTOTHERAPY VISIT,1
3037,PR Charge,PR HOSPICE ROUTINE HOME CARE,1
3038,PR Charge,PR HIT TPN 1 LITER DIEM,1
3039,HB Chargeables,HCHG BAG URINE DRAIN UNIV,1
3040,Imaging,MRI CERV THOR LUM W WO CONT,1
3041,Admission,ADMIT TO,1
3042,Imaging,MAMMO SCREEN BILAT W OR WO CAD,1
3043,General Supply,FOOT ORTHOTICS,1
3044,Lab,ARIPIPRAZOLE LEVEL,1
3045,PR Charge,PR VANCOMYCIN HCL INJECTION,1
3046,Consult,IP CONSULT TO CHF REHABILITATION,1
3047,PR Charge,PR TOBRAMYCIN SULFATE INJECTION,1
3048,PFT,BRONCHIAL INHALATION CHALLENGE,1
3049,Immunization/Injection,PROMETHAZINE 25 MG/ML INJECTION,1
3050,General Supply,LUMBAR SUPPORT FLEXIBLE,1
3051,Imaging,MAMMO DIAG BILAT 3D TOMO W OR WO CAD,1
3052,PR Charge,PR HOSPICE CONTINUOUS HOME CARE,1
3053,Outpatient Referral,AMB REFERRAL TO GYN ONCOLOGY,1
3054,PR Charge,PR NEBULIZER WITH COMPRESSION,1
3055,Imaging,MRI CERV THORACIC WO CONT,1
3056,PR Charge,PR CEFEPIME HCL FOR INJECTION,1
3057,PR Charge,"PR BRACE, LUMBO SOFTEC ST",1
3058,Outpatient Referral,AMB REFERRAL TO PERINATOLOGY,1
3059,Immunization/Injection,ERTAPENEM 1 GRAM INJECTION,1
3060,Imaging,XR ESOPHAGRAM AND OR PHAR,1
3061,Outpatient Referral,AMB REFERRAL TO INTEGRATIVE MEDICINE,1
3062,PR Charge,PR O2 CONTENTS GAS CUBIC FT,1
3063,PR Charge,PR PENICILLIN G POTASSIUM INJ,1
3064,HB Chargeables,HCHG HH DRSG WOUND ADAPTIC 3X8,1
3065,General Supply,FINGER SPLINT ALUMAFORM,1
3066,HB Chargeables,HCHG HAND HELD MUCOUS CLEARANCE,1
3067,Immunization/Injection,"RHO (D) IMMUNE GLOBULIN 1,500 UNIT (300 MCG)",1
3068,Equipment,CPAP,1
3069,Outpatient Referral,AMB REFERRAL TO PALLIATIVE CARE,1
3070,General Supply,KNEE BRACE,1
3071,Lab,"UREA NITROGEN, 24 HR URINE",1
3072,PR Charge,"PR PRESCRIPTION DRUG, GENERIC",1
3073,Imaging,PET BONE IMG W CT WHOLE BODY,1
3074,General Supply,URINARY LEG BAG,1
3075,External Education,EDUCATION RECOVERY FROM CESAREAN BIRTH - EMMI MERCY KIDS,1
3076,Cardiac Services,HOLTER MONITOR PEDS,1
3077,Imaging,PET TUMOR IMG WHOLE BODY,1
3078,Lab,INFLUENZA B ABS,1
3079,Nursing,SCHEDULE APPOINTMENT,1
3080,Equipment,COMPRESSION DEVICE,1
3081,Nursing,FOLLOW INTERDIS PW: CLEAN CONTAMINATED MAJOR HEAD & NECK SURG POST OP,1
3082,General Supply,CERVICAL COLLAR ASPEN,1
3083,Outpatient Referral,AMB REFERRAL TO PEDIATRIC DERMATOLOGY,1
3084,Lab,TRICHOMONAS VAGINALIS BY NUCLEIC ACID AMP,1
3085,Imaging,MRI BREAST W WO CONTRAST LEFT,1
3086,Procedures,"SPLINT APPLICATION, UPPER EXTREMITY",1
3087,PR Charge,"PR HOSPITAL DISCHARGE DAY,>30 MIN",1
