,admitting_diagnosis,count(admitting_diagnosis)
4404,"Type I (juvenile type) diabetes mellitus with hyperosmolarity, uncontrolled",2
4405,Toxic diffuse goiter without mention of thyrotoxic crisis or storm,2
4406,Burn of unspecified degree of neck,2
4407,"Burn of unspecified degree multiple sites of upper limb, except wrist and hand",2
4408,"Burn of unspecified degree of right forearm, initial encounter",2
4409,"Salpingitis and oophoritis not specified as acute, subacute, or chronic",2
4410,"Other benign neoplasm of skin, unspecified",2
4411,"Malignant neoplasm of lower lobe, left bronchus or lung",2
4412,Retained foreign body of middle ear,2
4413,"Other fracture of shaft of right fibula, initial encounter for closed fracture",2
4414,Neoplasm of uncertain behavior of rectum,2
4415,Alcoholic cirrhosis of liver without ascites,2
4416,"Other specified joint disorders, right knee",2
4417,"Polycystic kidney, unspecified",2
4418,Crushing injury of foot,2
4419,Other abnormality of red blood cells,2
4420,"Preterm premature rupture of membranes, onset of labor more than 24 hours following rupture, third trimester",2
4421,"Open dislocation interphalangeal (joint), hand",2
4422,"Contusion of right elbow, initial encounter",2
4423,"Pathological fracture, other site, subsequent encounter for fracture with nonunion",2
4424,"Unspecified antepartum hemorrhage, with delivery",2
4425,"Unspecified injury of unspecified lower leg, initial encounter",2
4426,Other specified hypoglycemia,2
4427,Calcifying tendinitis of shoulder,2
4428,"Displaced fracture of shaft of fourth metacarpal bone, left hand, initial encounter for closed fracture",2
4429,Surveillance of previously prescribed intrauterine contraceptive device,2
4430,"Insect bite (nonvenomous), left ankle, initial encounter",2
4431,Malignant neoplasm of thymus,2
4432,"Primary uterine inertia, antepartum",2
4433,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery,2
4434,"Abrasion of lower back and pelvis, initial encounter",2
4435,"Fracture of condylar process of mandible, initial encounter for closed fracture",2
4436,Conjunctivitis unspecified,2
4437,Other cervical disc displacement at C5-C6 level,2
4438,"Unspecified injury of ear, initial encounter",2
4439,"Plica syndrome, left knee",2
4440,Influenza with other manifestations,2
4441,"Insect bite (nonvenomous) of right ring finger, initial encounter",2
4442,"Localized swelling, mass and lump, unspecified upper limb",2
4443,"Maternal care for other specified fetal problems, third trimester, not applicable or unspecified",2
4444,Nontraumatic rupture of flexor tendons of hand and wrist,2
4445,Occlusion and stenosis of basilar artery,2
4446,"Premature separation of placenta, unspecified, second trimester",2
4447,Other and unspecified disc disorder of unspecified region,2
4448,"Poisoning by methadone, accidental (unintentional), initial encounter",2
4449,"Superficial foreign body, left knee, initial encounter",2
4450,"Abrasion of abdominal wall, initial encounter",2
4451,Nonspecific abnormal electrocardiogram (ECG) (EKG),2
4452,"Erosion of other implanted mesh to organ or tissue, initial encounter",2
4453,"Otorrhagia, right ear",2
4454,"Other and unspecified intracranial hemorrhage following injury, without mention of open intracranial wound, brief (less than 1 h",2
4455,"Infection and inflammatory reaction due to other genitourinary device, implant, and graft",2
4456,"Other mechanical complication of other internal joint prosthesis, initial encounter",2
4457,"Abrasion of right ear, initial encounter",2
4458,Other specified congenital deformities of feet,2
4459,"Abrasion of left thumb, initial encounter",2
4460,"Open wound of other and unspecified parts of trunk, without mention of complication",2
4461,Other specified prophylactic or treatment measure,2
4462,"Burn of genitalia, unspecified degree",2
4463,Neonatal Candida infection,2
4464,"Injury of ulnar nerve at wrist and hand level of left arm, initial encounter",2
4465,"Bloodstream infection due to central venous catheter, initial encounter",2
4466,Other cervical disc displacement at C6-C7 level,2
4467,Aneurysm of other precerebral arteries,2
4468,Abnormal glucose complicating pregnancy,2
4469,"Other specified injuries of pelvis, initial encounter",2
4470,"Unspecified injury of external genitals, initial encounter",2
4471,Non-pressure chronic ulcer of skin of other sites with unspecified severity,2
4472,"Displaced bimalleolar fracture of left lower leg, initial encounter for open fracture type I or II",2
4473,"Bicipital tendinitis, left shoulder",2
4474,Hydrops of gallbladder,2
4475,"Poisoning by other psychotropic drugs, accidental (unintentional), initial encounter",2
4476,"Trunk, superficial foreign body (splinter), without major open wound and without mention of infection",2
4477,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intract",2
4478,"Other mental disorders complicating pregnancy, first trimester",2
4479,Closed fracture of lateral condyle of humerus,2
4480,"Unspecified open wound, left foot, initial encounter",2
4481,Postinflammatory pulmonary fibrosis,2
4482,"Twin, mate stillborn, born in hospital, delivered by cesarean delivery",2
4483,Closed fracture of navicular (scaphoid) bone of wrist,2
4484,Neoplasm of unspecified nature of respiratory system,2
4485,Encounter for other orthopedic aftercare,2
4486,Malignant neoplasm of body of stomach,2
4487,Disturbances of salivary secretion,2
4488,Disorders of bilirubin excretion,2
4489,Fasciculation,2
4490,"Pre-existing type 2 diabetes mellitus, in pregnancy, third trimester",2
4491,"Other joint derangement, not elsewhere classified, other specified site",2
4492,Personal history of other specified conditions,2
4493,"Other specified fracture of right pubis, initial encounter for closed fracture",2
4494,"Chronic serous otitis media, unspecified ear",2
4495,Acute on chronic systolic (congestive) heart failure,2
4496,"Foreign body in stomach, initial encounter",2
4497,Left upper quadrant abdominal tenderness,2
4498,Ulceration of intestine,2
4499,"Intracranial injury of other and unspecified nature, without mention of open intracranial wound, brief (less than 1 hour) loss o",2
4500,"Other mechanical complication of surgically created arteriovenous fistula, subsequent encounter",2
4501,Toxic effect of ethyl alcohol,2
4502,"Unspecified fracture of lower end of right tibia, subsequent encounter for closed fracture with nonunion",2
4503,"Other migraine, not intractable, without status migrainosus",2
4504,"Breakdown (mechanical) of implanted electronic neurostimulator of peripheral nerve electrode (lead), initial encounter",2
4505,Bilious vomiting,2
4506,Closed fracture of femoral condyle,2
4507,"Unspecified infection of urinary tract in pregnancy, first trimester",2
4508,Lesion of radial nerve,2
4509,"Liver and biliary tract disorders in pregnancy, second trimester",2
4510,"Burn of chest wall, excluding breast and nipple, unspecified degree",2
4511,"Broken internal right knee prosthesis, initial encounter",2
4512,"Severe pre-eclampsia, unspecified trimester",2
4513,"Other preterm infants, 2,000-2,499 grams",2
4514,Erythema due to burn (first degree) of back of hand,2
4515,"Low vision, one eye, not otherwise specified",2
4516,"Sprain of other ligament of left ankle, initial encounter",2
4517,"Other mental disorders complicating pregnancy, unspecified trimester",2
4518,"Diffuse large b-cell lymphoma, extranodal and solid organ sites",2
4519,Other synovitis and tenosynovitis,2
4520,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, with delivery",2
4521,Third degree hemorrhoids,2
4522,Imperforate hymen,2
4523,"Abrasion, right ankle, initial encounter",2
4524,"Displaced fracture of proximal phalanx of right middle finger, initial encounter for closed fracture",2
4525,Syringomyelia and syringobulbia,2
4526,"Sleep apnea, unspecified",2
4527,Postprocedural hemorrhage of a circulatory system organ or structure following other circulatory system procedure,2
4528,"Hypogammaglobulinaemia, unspecified",2
4529,Other derangement of lateral meniscus,2
4530,Benign neoplasm of thyroid gland,2
4531,Other neutropenia,2
4532,"Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",2
4533,Angiodysplasia of colon with hemorrhage,2
4534,Abscess of right external ear,2
4535,"Malignant neoplasm of tongue, unspecified site",2
4536,Other congenital valgus deformity of feet,2
4537,"Toxic effect of unspecified snake venom, undetermined, initial encounter",2
4538,Other specified conditions of integument specific to newborn,2
4539,"Abrasion of right thumb, initial encounter",2
4540,"Unspecified fracture of navicular (scaphoid) bone of left wrist, subsequent encounter for fracture with nonunion",2
4541,"Burn of second degree of head, face, and neck, unspecified site, initial encounter",2
4542,Basal cell carcinoma of skin of right ear and external auricular canal,2
4543,Unspecified chronic suppurative otitis media,2
4544,Obstruction of duodenum,2
4545,Unspecified hemorrhoids without mention of complication,2
4546,Cellulitis of buttock,2
4547,"Dacryocystitis, unspecified",2
4548,"Bacterial meningitis, unspecified",2
4549,"Cystitis, unspecified without hematuria",2
4550,"Other acute osteomyelitis, right femur",2
4551,Other specified disorders of female genital organs,2
4552,"Maternal care for other malpresentation of fetus, fetus 2",2
4553,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",2
4554,"Priapism, unspecified",2
4555,Aneurysm of iliac artery,2
4556,Abnormal results of kidney function studies,2
4557,"Abrasion or friction burn of foot and toe(s), without mention of infection",2
4558,"Other specific joint derangements of left shoulder, not elsewhere classified",2
4559,Nontraumatic chronic subdural hemorrhage,2
4560,"Mononeuritis of lower limb, unspecified",2
4561,"Respiratory abnormality, unspecified",2
4562,"Ankylosing hyperostosis (forestier), site unspecified",2
4563,Malignant neoplasm of overlapping sites of unspecified female breast,2
4564,Patient's other noncompliance with medication regimen,2
4565,"Kyphosis, postlaminectomy",2
4566,"Open wound of breast, complicated",2
4567,"Open wound of scrotum and testes, without mention of complication",2
4568,"Localized osteoarthrosis not specified whether primary or secondary, ankle and foot",2
4569,"Other specified spondylopathies, cervical region",2
4570,"Neoplasm of uncertain behavior of brain, unspecified",2
4571,Benign neoplasm of esophagus,2
4572,"Abnormal finding of blood chemistry, unspecified",2
4573,Other hydrocele,2
4574,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester",2
4575,"Basal cell carcinoma of skin of right eyelid, including canthus",2
4576,Type 2 diabetes mellitus with other skin ulcer,2
4577,"Burn of second degree of forehead and cheek, initial encounter",2
4578,Other granulomatous disorders of the skin and subcutaneous tissue,2
4579,Incomplete spontaneous abortion with other complications,2
4580,Benign neoplasm of right testis,2
4581,Infection of colostomy or enterostomy,2
4582,"Fetopelvic disproportion, delivered",2
4583,"Poisoning by aspirin, accidental (unintentional), initial encounter",2
4584,Sprain and strain of unspecified site of knee and leg,2
4585,"Abrasion, left thigh, initial encounter",2
4586,Cor pulmonale (chronic),2
4587,"Cortical age-related cataract, bilateral",2
4588,"Unspecified fracture of lower end of left femur, initial encounter for closed fracture",2
4589,"Other cyst of bone, other site",2
4590,"Fracture of other bone following insertion of orthopedic implant, joint prosthesis, or bone plate",2
4591,"Contusion of right lesser toe(s) without damage to nail, initial encounter",2
4592,"Unspecified subluxation of left patella, initial encounter",2
4593,Neoplasm of uncertain behavior of other specified digestive organs,2
4594,Secondary esophageal varices with bleeding,2
4595,Other apnea of newborn,2
4596,Other hydronephrosis,2
4597,Drug-induced hypoglycemia without coma,2
4598,"Chronic osteomyelitis, ankle and foot",2
